time,beta,alpha,theta,delta,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
5187.500000,1367.226911,1096.155446,1132.905986,395.200388,42.932938,48.847095,47.613281,89.012123,34.529274,39.742310,44.731697,42.688469,38.321201,39.822563,37.988087,30.939608,34.789227,39.802784,35.548061,25.542475
5188.000000,311.095840,184.385757,519.807142,362.084721,21.199642,27.022249,27.712727,188.687790,18.195478,19.777285,21.821161,23.310230,21.727886,22.146173,20.058647,16.356022,16.860815,20.087709,18.953196,12.567745
5188.500000,365.876407,32.653492,42.730627,388.255962,10.046081,12.917515,13.221900,114.910675,8.543311,9.387974,11.480906,12.976018,13.100224,11.915609,10.218161,7.595724,8.406292,11.420986,10.359312,5.993126
5189.000000,339.788291,115.426748,107.912448,381.073931,22.097700,33.302040,36.506649,97.340042,20.542246,17.117592,22.397722,24.911360,24.284302,24.406929,20.530283,14.638867,14.080573,17.391991,15.999416,10.472312
5189.500000,301.719044,61.627893,111.732219,767.612181,57.615616,73.368256,73.362740,125.162224,55.148537,44.840355,53.600094,55.075722,50.827072,56.183647,56.721123,48.035519,33.807552,43.228516,44.622566,36.610588
5190.000000,742.799443,53.665540,234.541573,738.905665,42.636620,49.516209,47.505569,195.575577,43.002628,31.253811,36.854389,36.587761,33.368881,39.002693,41.490025,36.212364,22.172596,31.491995,33.516991,28.048431
5190.500000,467.279454,174.975218,263.712691,739.289477,17.380165,20.569921,19.595945,109.311188,18.635778,14.531493,16.779848,16.112026,14.416171,17.141556,17.913889,16.658815,10.585069,14.193716,14.818201,14.289948
5191.000000,1388.574419,891.661303,996.597834,592.862519,15.648530,20.904047,19.688309,80.255997,10.582932,15.141051,18.725224,19.595751,18.121624,16.556005,13.692340,9.992078,16.237446,19.419342,16.211901,9.152658
5191.500000,227.612541,88.182072,134.290206,267.369511,57.666874,64.870285,59.117237,122.786674,41.980423,47.121349,53.994831,50.551090,42.285252,44.175762,43.141533,35.163494,40.070900,43.493935,37.020287,26.915201
5192.000000,1352.377257,233.495948,340.116027,489.133971,37.319515,43.583584,40.923729,210.348282,35.582050,29.772852,33.674931,31.959238,27.723848,32.573315,33.464787,30.223480,23.292467,25.792662,24.688107,21.919514
5192.500000,512.052283,154.827186,91.541248,548.193921,15.276649,21.505911,22.401667,89.747185,18.914701,11.340711,14.870649,16.949814,16.745831,18.286108,17.150440,14.788686,8.954318,13.408052,13.640184,10.731986
5193.000000,337.644753,174.146629,242.269223,294.523807,7.398524,9.724252,10.320102,55.510738,8.449617,5.696219,8.001134,9.337964,9.549368,8.867142,9.382597,7.907413,5.487257,7.639098,7.637673,7.146442
5193.500000,2955.898970,568.502834,1057.422148,2879.620421,3.134489,5.337593,5.888211,58.911961,5.768311,3.751085,4.189433,4.817172,5.808968,6.524539,7.535892,5.642859,4.919254,4.448524,6.406922,5.932714
5194.000000,1263.316359,1389.948570,2111.737757,3704.567970,8.379294,9.406776,9.307139,173.964355,7.222421,7.458743,7.278349,8.626874,8.695420,8.829989,8.605886,7.471804,6.806625,7.041184,7.445879,6.250464
5194.500000,645.346851,458.864204,987.973860,1042.334538,5.580601,6.431700,6.933005,111.040771,4.349424,4.973630,5.820021,6.555455,7.600890,5.809106,5.904497,4.916935,4.962056,5.682581,5.562737,4.715769
5195.000000,1413.287463,333.439812,278.718816,1165.347438,3.107442,5.837096,6.320308,130.357788,4.007162,2.347306,2.716920,4.537354,5.386608,5.077827,3.943232,3.451870,3.529609,3.254544,4.465744,4.177450
5195.500000,582.120869,522.525900,303.548435,568.083622,2.794896,3.881172,4.504998,108.184006,3.090828,2.291070,2.265464,3.307366,4.062385,3.697418,3.519080,3.070448,2.802476,2.699435,3.311198,4.361864
5196.000000,329.499851,97.845908,55.459295,868.784078,6.676938,9.282798,9.297617,200.484573,5.592239,6.065331,7.578798,8.938148,10.870142,9.170543,6.975547,5.089600,5.458705,6.897512,7.435634,5.111102
5196.500000,3155.767646,403.136562,401.663026,4280.610958,7.103759,9.494237,10.146149,78.201759,6.503411,8.019108,8.794571,10.904056,13.745416,11.258112,8.960585,6.849418,7.515894,10.411734,10.769795,6.627699
5197.000000,1771.685254,1205.175444,1395.535927,11409.155139,2.987909,4.496861,4.864374,118.380638,3.638865,2.804873,3.186071,4.497164,6.124480,5.539282,4.284115,3.736058,3.154887,4.904882,6.153932,4.176808
5197.500000,1556.301278,718.765006,797.367039,2571.976847,5.403924,6.533772,6.693911,88.680008,4.161671,5.591463,6.186744,6.126116,6.577096,6.222430,5.522603,4.470071,6.332688,6.320773,5.625262,3.969484
5198.000000,644.990897,43.410703,356.934091,1801.441249,5.208521,7.414160,7.580819,207.634659,4.796195,5.771679,6.035547,6.673321,6.614129,6.192661,5.584207,4.339200,5.568072,5.748073,5.803646,3.909395
5198.500000,212.017181,23.985653,121.046331,999.531270,8.969113,13.090053,13.162144,85.490311,8.871506,8.619158,11.779295,12.167145,12.566339,11.806488,10.159586,7.980477,7.553437,11.494635,11.369933,7.057144
5199.000000,314.445746,63.756756,105.330339,154.797261,6.673547,6.182811,6.201064,96.437515,4.751564,5.753378,5.822640,5.829743,5.689443,5.299846,4.890949,3.693200,5.310394,5.148439,4.480928,2.990167
5199.500000,2181.094373,542.482346,397.475359,15799.502293,4.119552,5.048230,5.236798,85.522972,3.947623,3.133030,3.956190,4.984917,5.058394,4.527557,4.464259,3.158548,2.272089,3.760878,4.139202,3.057247
5200.000000,698.933609,539.308483,1290.849556,6054.336788,5.773355,7.317402,7.001080,186.690247,3.283447,4.764433,5.967204,6.762814,6.562977,6.051099,5.455416,3.822810,4.854043,6.619980,6.004773,4.335319
5200.500000,1060.050195,284.818858,249.388165,3946.097913,6.199592,8.612879,8.015272,196.269104,5.084084,5.767943,7.177619,8.287978,8.610412,7.535799,7.179986,5.823690,5.666958,8.693259,8.680009,6.208823
